read_code	icd10_code
AB64.	B470
AB640	B471
AB65.	B459
AB650	B450D J998A
AB651	B457
AB652	B451D G021A
AB653	B458
AB654	B451D
AB655	B452D
AB656	B453D
AB65z	B459
AB66.	B482
AB67.	B469
AB670	B460D
AB671	B461D
AB672	B462D
AB673	B463D
AB674	B464
AB67X	B465
AB68.	B439
AB69.	B483
AB6A.	B484
AB6z.	B488
AB7..	B487
ABy..	B488
ABz..	B49X
AC...	B65-B83
AC0..	B659
AC00.	B650
AC01.	B651
AC02.	B652
AC03.	B653
AC0y.	B658
AC0y0	B658
AC0y1	B658
AC0y2	B658
AC0y3	B658
AC0yz	B658
AC0z.	B659
AC1..	B660-B669
AC10.	B660
AC11.	B661
AC12.	B664
AC13.	B663
AC14.	B665
AC15.	B668
AC16.	B668
AC1y.	B668
AC1y0	B662
AC1y1	B668
AC1y2	B668
AC1yz	B668
AC1z.	B669
AC2..	B679
AC20.	B670D
AC21.	B671D
AC22.	B673D
AC23.	B673
AC230	B672D
AC24.	B674
AC25.	B675D
AC26.	B676
AC27.	B677
AC2y.	B678D
AC2z.	B679
AC2z0	B679
AC2z1	B679
AC3..	B710-B719
AC30.	B680
AC31.	B699
AC310	B690D
AC311	B691D
AC32.	B681
AC33.	B689
AC34.	B700
AC35.	B701
AC36.	B710
AC37.	B711
AC3y.	B718
AC3z.	B719
AC4..	B75X
AC5..	B72X-B74
AC50.	B740
AC51.	B741
AC52.	B743
AC53.	B73X
AC54.	B744
AC55.	B744
AC56.	B748
AC560	B742
AC57.	B72X
AC5z.	B749
AC6..	B760+B761
AC60.	B760
AC61.	B761
AC62.	B760
AC63.	B760
AC6y.	B760
AC6z.	B769
AC6z0	B769
AC7..	B810-B818
AC70.	B779
AC700	B770D
AC70X	B779
AC71.	B810
AC72.	B789
AC720	B780D
AC721	B781D
AC722	B787
AC72X	B789
AC73.	B79X
AC74.	B80X
AC75.	B811
AC76.	B812
AC7x.	B818
AC7x0	B833
AC7y.	B814
AC7z.	B820
AC8..	B82-B83
AC80.	B830
AC81.	B831
AC8y.	B838
AC8y0	B832
AC8y1	B838
AC8y2	B813
AC8yz	B838
AC8z.	B839
ACz..	B829
AD0..	B589
AD00.	B582D G052A
AD01.	B580D
AD02.	B580D H320A
AD03.	B588D I412A
AD04.	B583D J173A
AD05.	B581D K770A
AD0x.	B588
AD0y.	B588
AD0z.	B589
AD1..	A590-A599
AD10.	A590
AD100	A590
AD101	A590D N771A
AD102	A590D
AD103	A590D N510A
AD10z	A590
AD1y.	A598
AD1z.	A599
AD2..	B850-B854
AD20.	B850
AD21.	B851
AD22.	B853
AD23.	B854
AD2X.	B852
AD2z.	B854
AD3..	B880
AD30.	B86X
AD3y.	B880
AD3z.	B880
AD4..	B880-B889
AD40.	B879
AD400	B870D
AD401	B871
AD402	B872D
AD403	B873D
AD404	B874D
AD40X	B879
AD41.	B882
AD410	B881
AD42.	B883
AD420	B834
AD4y.	B888
AD4z.	B889
AD5..	D869
AD50.	D860
AD51.	D861
AD52.	D862
AD53.	D863
AD530	D863
AD54.	D868
AD55.	D868D M148A
AD6..	B889
AD60.	L946
AD61.	M352
AD62.	B602
AD63.	B59XD J173A
AD64.	B888
AD65.	A078
AD66.	B600
AD67.	B601
AD670	B601D H192A
AD6z.	B99X
AD6zW	B89X
AD6zX	B64X
ADy0.	U849
ADy00	U842
ADy01	U841
ADy02	U849
ADy03	U832
ADy04	U849
ADy05	U840
ADy06	U841
ADy07	U842
ADy08	U843
ADy09	U847
ADy0A	U848
ADy0B	U849
AE...	B90-B94
AE0..	B909
AE00.	B909
AE01.	B900
AE02.	B901
AE03.	B902
AE04.	B908
AE0z.	B909
AE1..	B91X
AE2..	B948
AE20.	B941
AE21.	B940
AE22.	B92X
AE23.	B942
AE2z.	B948
AEy..	B948
AEz..	B949
